SampleID,Latitude,Longitude,Date,Year,Source,SiteName,Detection,Type
262,35.339717,-119.63083,8/23/18,2018,JT_Highway33,NA,43264.0058,Soil
263,35.339717,-119.63083,8/23/18,2018,JT_Highway33,NA,166937.881,Soil
264,35.339717,-119.63083,8/23/18,2018,JT_Highway33,NA,159071.698,Soil
265,35.339717,-119.63083,8/23/18,2018,JT_Highway33,NA,546262.7,Soil
266,35.339717,-119.63083,7/25/18,2018,JT_Highway33,NA,430017.997,Soil
267,35.339717,-119.63083,7/25/18,2018,JT_Highway33,NA,68348.389,Soil
268,35.339717,-119.63083,7/25/18,2018,JT_Highway33,NA,90024.0929,Soil
269,35.339717,-119.63083,7/25/18,2018,JT_Highway33,NA,194906.531,Soil
270,35.339717,-119.63083,7/25/18,2018,JT_Highway33,NA,1713079.83,Soil
271,35.339717,-119.63083,7/25/18,2018,JT_Highway33,NA,2770644.41,Soil
272,35.339717,-119.63083,7/25/18,2018,JT_Highway33,NA,2613320.75,Soil
273,35.339717,-119.63083,7/25/18,2018,JT_Highway33,NA,2141349.78,Soil
274,35.339717,-119.63083,7/25/18,2018,JT_Highway33,NA,3102772.13,Soil
275,35.339717,-119.63083,7/25/18,2018,JT_Highway33,NA,2473477.5,Soil
276,35.339717,-119.63083,7/25/18,2018,JT_Highway33,NA,2604580.55,Soil
277,35.339717,-119.63083,7/25/18,2018,JT_Highway33,NA,4247738.75,Soil
278,35.339717,-119.63083,7/25/18,2018,JT_Highway33,NA,1005123.37,Soil
279,35.339717,-119.63083,7/25/18,2018,JT_Highway33,NA,1809222.06,Soil
280,35.339717,-119.63083,7/25/18,2018,JT_Highway33,NA,1101265.6,Soil
281,35.339717,-119.63083,7/25/18,2018,JT_Highway33,NA,1162447.02,Soil
282,35.339717,-119.63083,7/25/18,2018,JT_Highway33,NA,1066304.79,Soil
283,35.339717,-119.63083,7/25/18,2018,JT_Highway33,NA,702712.337,Soil
284,35.339717,-119.63083,7/25/18,2018,JT_Highway33,NA,1686859.22,Soil
285,35.339717,-119.63083,6/19/18,2018,JT_Highway33,NA,1144966.62,Soil
286,35.339717,-119.63083,6/19/18,2018,JT_Highway33,NA,52179.0131,Soil
287,35.339717,-119.63083,6/19/18,2018,JT_Highway33,NA,431766.038,Soil
288,35.339717,-119.63083,6/19/18,2018,JT_Highway33,NA,470222.932,Soil
